title,original_artist,context
KKK Took My Baby Away,Ramones,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Blitzkrieg Bop,Ramones,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Sheena Is A Punk Rocker,Ramones,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Stand By Me,Ben E. King via Pennywise,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Blind,Face to Face,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Creep,Radiohead,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
My Own Worst Enemy,Lit,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
The Middle,Jimmy Eat World,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
1985,Bowling For Soup,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Come Back To Texas,Bowling For Soup,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
They Call Me Steve,Teenage Bottlerocket,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Somewhere On Fullerton,Allister,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
All My Fault,Riverfenix,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Miles Away,Goldfinger,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
The Anthem,Good Charlotte,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
In Too Deep,Sum 41,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Fat Lip,Sum 41,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Pieces (8-bit),Sum 41,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Easy,Faith No More/Commodores,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Knockin' On Heaven's Door,Bob Dylan,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Where The Sidewalk Ends,?,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Armatage Shanks,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
No Cigar (8-bit),Millencolin,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Gives You Hell (8-bit),All-American Rejects,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
On A Plain (8-bit),Nirvana,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Olympia WA (8-bit),Rancid,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Oi To The World,The Vandals,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Grandma Got Run Over By A Reindeer,Elmo & Patsy,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
I Celebrate The Day,Relient K,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Christmas Medley,various,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Ice Ice Baby,Vanilla Ice,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Somewhere Over The Rainbow,Arlen/Harburg,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Saw Her Standing There,The Beatles,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Sparks Fly,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
The Story Of Us,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Stay Stay Stay,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
You Belong With Me,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Ready For It,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
You Need To Calm Down,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Enchanted,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Cruel Summer,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Mine,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Paper Rings,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Mean,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
I Knew You Were Trouble,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
All Too Well,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Ours,Taylor Swift,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
The Decline,NOFX,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
